OrderID,OrderDate,ShipDate,Region,Category,SubCategory,ProductName,CustomerName,Sales,Quantity,Discount,Profit,Year,Month,Profit %
ORD10000,11/28/22,11/30/22,East,Office Supplies,Storage,Storage Model 24,Customer 299,476.99,1,0,66.89,2022,Nov,14.02%
ORD10001,3/1/22,3/6/22,South,Furniture,Chairs,Chairs Model 5,Customer 124,230.88,1,0.2,43.55,2022,Mar,18.86%
ORD10002,4/3/22,4/8/22,West,Office Supplies,Binders,Binders Model 41,Customer 299,219.90,5,0,15.44,2022,Apr,7.02%
ORD10003,8/28/24,8/29/24,West,Technology,Machines,Machines Model 3,Customer 286,169.63,4,0,37.61,2024,Aug,22.17%
ORD10004,5/29/24,5/31/24,East,Office Supplies,Paper,Paper Model 37,Customer 158,283.31,2,0.3,-2.61,2024,May,-0.92%
ORD10005,7/28/23,8/4/23,West,Technology,Phones,Phones Model 24,Customer 50,317.73,1,0.3,-0.83,2023,Jul,-0.26%
ORD10006,7/15/23,7/21/23,West,Furniture,Bookcases,Bookcases Model 32,Customer 273,290.07,1,0.3,1.24,2023,Jul,0.43%
ORD10007,3/14/23,3/21/23,Central,Office Supplies,Paper,Paper Model 20,Customer 128,336.45,5,0.2,17.86,2023,Mar,5.31%
ORD10008,3/24/24,3/26/24,Central,Technology,Phones,Phones Model 34,Customer 254,469.37,1,0.3,1.54,2024,Mar,0.33%
ORD10009,6/15/24,6/18/24,East,Technology,Accessories,Accessories Model 8,Customer 263,92.87,3,0.3,-1.57,2024,Jun,-1.69%
ORD10010,3/5/23,3/7/23,East,Office Supplies,Binders,Binders Model 43,Customer 40,176.65,4,0.2,-14.05,2023,Mar,-7.95%
ORD10011,2/22/24,2/27/24,South,Technology,Accessories,Accessories Model 38,Customer 234,279.48,3,0.1,33.95,2024,Feb,12.15%
ORD10012,3/12/22,3/19/22,East,Furniture,Tables,Tables Model 47,Customer 159,79.60,4,0,17.29,2022,Mar,21.72%
ORD10013,10/25/23,10/30/23,Central,Technology,Accessories,Accessories Model 2,Customer 237,412.89,3,0.2,8.12,2023,Oct,1.97%
ORD10014,12/30/22,1/1/23,West,Technology,Phones,Phones Model 50,Customer 148,491.70,4,0,70.46,2022,Dec,14.33%
ORD10015,5/13/22,5/19/22,East,Furniture,Tables,Tables Model 11,Customer 230,166.89,4,0.2,24.04,2022,May,14.40%
ORD10016,2/16/23,2/21/23,Central,Office Supplies,Binders,Binders Model 46,Customer 213,267.02,4,0.3,22.48,2023,Feb,8.42%
ORD10017,1/3/23,1/9/23,West,Office Supplies,Binders,Binders Model 10,Customer 119,245.60,2,0,55.3,2023,Jan,22.52%
ORD10018,11/6/23,11/8/23,Central,Furniture,Tables,Tables Model 19,Customer 3,231.86,5,0,37.3,2023,Nov,16.09%
